Phase,File,Sent Id,Sentence Length,Discourse Marker,Part of Speech
1,hi_1385_gold.conllu,1,7,na,PART
1,hi_1385_gold.conllu,24,7,to,PART
1,hi_1385_gold.conllu,25,9,to,PART
1,hi_1385_gold.conllu,40,8,to,PART
1,hi_1385_gold.conllu,43,6,to,PART
1,hi_1385_gold.conllu,53,11,to,PART
1,hi_1385_gold.conllu,54,9,to,PART
1,hi_1385_gold.conllu,58,8,bhi,PART
1,hi_1385_gold.conllu,69,7,hi,PART
1,hi_1385_gold.conllu,77,7,to,PART
1,hi_1385_gold.conllu,78,12,to,PART
1,hi_1385_gold.conllu,89,7,to,PART
1,hi_1385_gold.conllu,94,17,hi,PART
1,hi_1385_gold.conllu,95,8,hi,PART
1,hi_1385_gold.conllu,102,12,bhi,PART
1,hi_1385_gold.conllu,118,7,na,PART
1,hi_1385_gold.conllu,154,8,to,PART
1,hi_1385_gold.conllu,157,12,to,PART
1,hi_1385_gold.conllu,165,8,to,PART
1,hi_1385_gold.conllu,174,7,to,PART
1,hi_1385_gold.conllu,175,7,bhi,PART
1,hi_1385_gold.conllu,195,9,to,PART
1,hi_1385_gold.conllu,197,9,to,PART
1,hi_1385_gold.conllu,207,12,hi,PART
1,hi_1385_gold.conllu,222,9,to,PART
1,hi_1385_gold.conllu,234,7,bhi,PART
1,hi_1385_gold.conllu,236,5,to,PART
1,hi_1385_gold.conllu,239,4,bhi,PART
1,hi_1385_gold.conllu,247,7,to,PART
1,hi_1385_gold.conllu,253,10,to,PART
1,hi_1385_gold.conllu,277,10,to,PART
1,hi_1385_gold.conllu,278,8,hi,PART
1,hi_1385_gold.conllu,281,12,hi,PART
1,hi_1385_gold.conllu,287,6,to,PART
1,hi_1385_gold.conllu,298,23,na,PART
1,hi_1385_gold.conllu,304,7,to,PART
1,hi_1385_gold.conllu,306,7,na,PART
1,hi_1385_gold.conllu,315,7,to,PART
1,hi_1385_gold.conllu,317,13,to,PART
1,hi_1385_gold.conllu,323,17,bhi,PART
1,hi_1385_gold.conllu,326,6,hi,PART
1,hi_1385_gold.conllu,343,15,to,PART
1,hi_1385_gold.conllu,359,12,to,PART
1,hi_1385_gold.conllu,362,10,hi,PART
1,hi_1385_gold.conllu,367,10,to,PART
1,hi_1385_gold.conllu,373,20,hi,PART
1,hi_1385_gold.conllu,376,11,to,PART
1,hi_1385_gold.conllu,399,10,to,PART
1,hi_1385_gold.conllu,400,6,bhi,PART
1,hi_1385_gold.conllu,401,10,na,PART
1,hi_1385_gold.conllu,405,12,bhi,PART
1,hi_1385_gold.conllu,417,17,to,PART
1,hi_1385_gold.conllu,421,11,bhi,PART
1,hi_1385_gold.conllu,427,5,bhi,PART
1,hi_1385_gold.conllu,430,12,to,PART
1,hi_1385_gold.conllu,432,10,bhi,PART
